,total_files,earliest_commit,typescript_4.0,typescript_4.1,typescript_4.2,remapped_name_in_mapped_type,typescript_4.3,typescript_4.4,typescript_4.5,type_modifier_on_import_name,template_literal_type,named_tuple_member,short_circuit_assignment,override_on_class_method,typescript_4.7,typescript_4.9,abstract_construct_signature,extends_constraint_on_infer,accessor_keyword,static_block_in_class,import_assertion,variance_annotations_on_type_parameter,satisfies_expression
microsoft/vscode,4126.0,2020.0,-75.0,-86.0,-110.0,,-98.0,-89.0,-98.0,,537.0,62.0,558.0,-48.0,-81.0,-95.0,,,,413.0,,,
redux-observable/redux-observable,13.0,2020.0,,,68.0,,,,,,,,,,,,,,,,,,
graphql/graphiql,226.0,2020.0,,75.0,,,,,,,620.0,,,,,,,,,,,,
alibaba/ice,452.0,2020.0,158.0,,,,,,362.0,112.0,,816.0,816.0,,174.0,,,,,,,,
plouc/nivo,346.0,2020.0,78.0,,,,28.0,,30.0,,,275.0,,,,,,,,,,,
turbolinks/turbolinks,31.0,2020.0,,,,,,,,,,,,,,,,,,,,,
crimx/ext-saladict,298.0,2020.0,,,,,,,,,,,,,,,,,,,,,
electron-userland/electron-builder,262.0,2020.0,28.0,25.0,21.0,,16.0,,,,,,,,,,,,,,,,
hediet/vscode-drawio,53.0,2020.0,,,,,47.0,,,,,,,,,,,,,,,,
the1812/Bilibili-Evolved,1535.0,2020.0,83.0,,,483.0,89.0,74.0,,,483.0,,,,,,,,,,,,
howtographql/howtographql,21.0,2020.0,,,,,,,,,,,,,,,,,,,,,
react-bootstrap/react-bootstrap,93.0,2020.0,48.0,5.0,8.0,,3.0,7.0,7.0,,,,,,,21.0,,,,,,,
ant-design/ant-design-mobile,156.0,2020.0,,,,,,,100.0,,,,,,,,,,,,,,
Kaiyiwing/qwerty-learner,14.0,2021.0,156.0,,,,,,,,,169.0,,,,,,,,,,,
xcatliu/typescript-tutorial,63.0,2020.0,,4.0,,,,,,,,,,,,,,,,,,,
akveo/react-native-ui-kitten,160.0,2020.0,,,,,,431.0,,,,,,,,,,,,,,,
metricsgraphics/metrics-graphics,21.0,2020.0,10.0,9.0,,,,,83.0,,,,,,,,,,,,,,
pixijs/pixijs,548.0,2020.0,,,,718.0,342.0,,,,718.0,809.0,671.0,380.0,,,,,,,,,
hotwired/stimulus,117.0,2020.0,,,20.0,120.0,47.0,,,,120.0,,,,,,,,,,,,
nuxt/framework,385.0,2021.0,,,24.0,,12.0,11.0,1.0,,326.0,239.0,788.0,,11.0,1.0,,,,,,,
microsoft/TypeScript,18734.0,2020.0,-56.0,,31.0,-70.0,,,65.0,-50.0,-70.0,-92.0,-96.0,-60.0,88.0,,-46.0,-80.0,-80.0,-61.0,-57.0,-62.0,-73.0
sindresorhus/type-fest,171.0,2020.0,,6.0,,6.0,,,,,6.0,,,,,13.0,,164.0,,,,,
cheeriojs/cheerio,35.0,2020.0,,,72.0,,2.0,1.0,1.0,164.0,168.0,259.0,259.0,,1.0,1.0,,,,,,,
szimek/signature_pad,11.0,2020.0,31.0,,,,,80.0,7.0,,,,,,13.0,,,,,,,,
freeCodeCamp/freeCodeCamp,157.0,2020.0,,,84.0,,1.0,33.0,2.0,,,628.0,,,6.0,6.0,,,,,,,
peers/peerjs,23.0,2020.0,,,16.0,,,,94.0,96.0,,,,,,,,,,,,,
wechaty/wechaty,120.0,2020.0,,,96.0,,6.0,8.0,,5.0,350.0,444.0,,6.0,,,,,,,,,
neoclide/coc.nvim,394.0,2020.0,23.0,20.0,,,40.0,,37.0,,,801.0,,536.0,,8.0,,,,,,,
reduxjs/react-redux,32.0,2020.0,,,,,35.0,,,,,,,,,,,,,,,,
mongodb/node-mongodb-native,240.0,2020.0,6.0,93.0,78.0,,34.0,44.0,3.0,196.0,394.0,597.0,149.0,288.0,2.0,,,,,282.0,,,
facebook/docusaurus,437.0,2020.0,,119.0,,,,,1.0,44.0,426.0,268.0,563.0,284.0,23.0,,,,,,,,
BrainJS/brain.js,201.0,2020.0,9.0,,,,,,,,,,,,,,,,,,,,
serverless-stack/sst,867.0,2020.0,,,18.0,,,33.0,24.0,376.0,488.0,,,,169.0,,,,,,,,
open-cli-tools/concurrently,47.0,2020.0,,,,,,,32.0,,542.0,,,,,3.0,,,,,,,
backstage/backstage,3707.0,2020.0,,,,,203.0,,62.0,306.0,107.0,198.0,834.0,,9.0,7.0,,,,,,,
yocontra/react-responsive,24.0,2020.0,,125.0,,,,,,,,,,,,,,,,,,,
inorganik/countUp.js,3.0,2020.0,,,,,,,,,,,,,,,,,,,,,
t3-oss/create-t3-app,59.0,2022.0,,,,,,,,214.0,736.0,,,,35.0,3.0,,,,,,,
